City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,Zyryanovsk,49.74,84.27,31.93,98,100,1.95,KZ,10/30/2020
340,Pacific Grove,36.62,-121.92,54,81,1,4.7,US,10/30/2020
341,Amuntai,-2.42,115.25,95.05,46,43,4.99,ID,10/30/2020
342,Jelenia Gora,50.9,15.73,39.99,99,100,28.99,PL,10/30/2020
343,Lagoa,39.05,-27.98,66.94,87,65,11.05,PT,10/30/2020
344,Belaya Kholunitsa,58.84,50.85,32.07,93,20,8.21,RU,10/30/2020
345,Koutiala,12.39,-5.46,71.91,25,2,3.69,ML,10/30/2020
346,Nikolskoye,59.7,30.79,48.99,93,90,4.47,RU,10/30/2020
347,Evensk,61.95,159.23,22.91,96,94,6.35,RU,10/30/2020
348,Natchez,31.56,-91.4,51.8,81,90,8.05,US,10/30/2020
349,Ostrovnoy,68.05,39.51,36.09,90,100,16.49,RU,10/30/2020
350,Talnakh,69.49,88.4,4.21,88,88,10.09,RU,10/30/2020
